31,3500	25,4123
24,9300	18,7258
18,5100	11,1439
12,8700	14,3000
25,8300	11,4424
12,8100	23,0840
18,6300	1,8308
45,2700	5,3531
48,8700	18,6662
38,7300	36,8747
18,9900	25,3525
11,7300	36,5164
11,9100	26,3078
7,4100	21,8900
22,7700	36,7553
31,0500	35,8001
28,4100	1,2338
49,6500	32,5165
6,3900	1,8307
36,2700	17,6513
1,1100	36,2777
13,4700	30,3076
44,7900	32,1584
1,2300	6,2486
7,1700	9,4723
37,7700	25,0540
44,0700	12,0394
19,0500	31,8001
25,1700	30,1285
37,7100	30,0091
14,6700	36,6955
0,9900	26,4272
31,2900	18,7855
12,8700	17,9498
1,1700	31,4420
38,9100	6,0694
48,9300	2,8457
18,9300	18,6662
38,1300	12,0992
44,1300	0,8756
31,2900	30,4868
49,6500	12,5768
25,4100	5,8903
7,2300	14,3000
44,0700	25,1138
48,3300	36,8150
