-110;-110;-110;-110;-60;-67;-78;-110;-110;-110;-110
-110;-110;-82;-73;-47;-68;-110;-84;-110;-110;-110
-110;-82;-75;-69;-43;-110;-110;-110;-110;-110;-110
-80;-110;-74;-65;-52;-70;-110;-110;-110;-110;-110
-80;-110;-73;-110;-61;-70;-110;-110;-110;-110;-110
-110;-110;-74;-110;-56;-74;-74;-78;-110;-110;-110
-110;-85;-110;-64;-48;-64;-74;-74;-110;-110;-110
-110;-75;-110;-63;-59;-61;-110;-70;-110;-110;-110
-110;-80;-110;-65;-60;-60;-110;-79;-110;-110;-110
-81;-110;-70;-58;-61;-76;-84;-72;-110;-110;-110
-110;-110;-74;-110;-57;-110;-75;-77;-110;-110;-110
-110;-110;-110;-71;-60;-75;-84;-110;-110;-110;-110
-110;-110;-76;-59;-67;-83;-110;-95;-110;-110;-110
-75;-110;-69;-63;-68;-80;-79;-110;-110;-110;-110
-110;-110;-68;-69;-54;-84;-110;-88;-110;-110;-110
-80;-110;-68;-60;-65;-69;-71;-71;-110;-110;-110
-110;-82;-63;-110;-61;-73;-72;-79;-110;-110;-110
-78;-110;-58;-56;-110;-110;-110;-77;-110;-110;-110
-76;-75;-44;-62;-62;-74;-110;-82;-110;-110;-110
-77;-64;-60;-65;-72;-110;-85;-110;-110;-110;-110
-110;-110;-48;-67;-71;-85;-110;-110;-110;-110;-110
-75;-65;-46;-69;-110;-110;-110;-110;-110;-110;-73
-74;-69;-51;-75;-76;-110;-110;-110;-110;-110;-110
-67;-74;-44;-74;-80;-110;-110;-89;-110;-110;-110
-76;-74;-51;-76;-81;-110;-110;-110;-87;-110;-110
-59;-60;-71;-110;-83;-110;-110;-110;-110;-110;-110
-60;-60;-69;-110;-110;-110;-110;-110;-110;-110;-110
-58;-60;-110;-110;-110;-110;-110;-110;-110;-110;-110
-50;-60;-69;-110;-110;-110;-110;-110;-110;-86;-110
-53;-63;-71;-76;-85;-110;-110;-110;-110;-83;-79
-59;-61;-66;-77;-83;-110;-110;-110;-110;-76;-110
-58;-66;-69;-80;-110;-110;-110;-110;-78;-110;-110
-55;-110;-71;-77;-87;-110;-110;-90;-110;-110;-110
-57;-62;-73;-110;-110;-110;-110;-110;-110;-84;-80
-47;-66;-73;-110;-110;-110;-110;-110;-67;-77;-110
-77;-73;-80;-110;-110;-110;-110;-110;-110;-110;-67
-77;-69;-71;-110;-110;-110;-110;-110;-110;-110;-61
-110;-73;-110;-110;-86;-86;-110;-110;-110;-110;-59
-110;-72;-110;-110;-110;-110;-110;-110;-110;-69;-67
-81;-72;-73;-110;-87;-110;-110;-77;-110;-76;-73
-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110
-72;-110;-110;-110;-110;-110;-110;-110;-73;-72;-65
